#           k/h    P           
   0.101494E-01   0.218238E+05
   0.103544E-01   0.219885E+05
   0.105636E-01   0.221490E+05
   0.107770E-01   0.223050E+05
   0.109947E-01   0.224563E+05
   0.112168E-01   0.226027E+05
   0.114434E-01   0.227438E+05
   0.116746E-01   0.228795E+05
   0.119104E-01   0.230096E+05
   0.121510E-01   0.231337E+05
   0.123965E-01   0.232516E+05
   0.126469E-01   0.233631E+05
   0.129024E-01   0.234679E+05
   0.131631E-01   0.235657E+05
   0.134290E-01   0.236563E+05
   0.137003E-01   0.237394E+05
   0.139770E-01   0.238148E+05
   0.142594E-01   0.238821E+05
   0.145474E-01   0.239412E+05
   0.148413E-01   0.239917E+05
   0.151411E-01   0.240335E+05
   0.154470E-01   0.240662E+05
   0.157590E-01   0.240897E+05
   0.160774E-01   0.241036E+05
   0.164022E-01   0.241078E+05
   0.167335E-01   0.241021E+05
   0.170716E-01   0.240862E+05
   0.174164E-01   0.240599E+05
   0.177683E-01   0.240230E+05
   0.181272E-01   0.239754E+05
   0.184934E-01   0.239169E+05
   0.188670E-01   0.238474E+05
   0.192481E-01   0.237667E+05
   0.196370E-01   0.236748E+05
   0.200337E-01   0.235715E+05
   0.204384E-01   0.234569E+05
   0.208513E-01   0.233308E+05
   0.212725E-01   0.231933E+05
   0.217022E-01   0.230444E+05
   0.221406E-01   0.228841E+05
   0.225879E-01   0.227126E+05
   0.230442E-01   0.225299E+05
   0.235097E-01   0.223363E+05
   0.239847E-01   0.221319E+05
   0.244692E-01   0.219169E+05
   0.249635E-01   0.216917E+05
   0.254678E-01   0.214565E+05
   0.259823E-01   0.212118E+05
   0.265072E-01   0.209579E+05
   0.270426E-01   0.206952E+05
   0.275889E-01   0.204242E+05
   0.281463E-01   0.201455E+05
   0.287149E-01   0.198597E+05
   0.292949E-01   0.195673E+05
   0.298867E-01   0.192690E+05
   0.304905E-01   0.189655E+05
   0.311064E-01   0.186575E+05
   0.317348E-01   0.183458E+05
   0.323759E-01   0.180312E+05
   0.330299E-01   0.177144E+05
   0.336972E-01   0.173963E+05
   0.343779E-01   0.170777E+05
   0.350724E-01   0.167595E+05
   0.357809E-01   0.164424E+05
   0.365038E-01   0.161273E+05
   0.372412E-01   0.158152E+05
   0.379935E-01   0.155071E+05
   0.387610E-01   0.152038E+05
   0.395440E-01   0.149060E+05
   0.403429E-01   0.146146E+05
   0.411579E-01   0.143299E+05
   0.419893E-01   0.140523E+05
   0.428375E-01   0.137821E+05
   0.437029E-01   0.135199E+05
   0.445858E-01   0.132660E+05
   0.454865E-01   0.130214E+05
   0.464053E-01   0.127869E+05
   0.473428E-01   0.125633E+05
   0.482992E-01   0.123513E+05
   0.492749E-01   0.121504E+05
   0.502703E-01   0.119596E+05
   0.512858E-01   0.117781E+05
   0.523219E-01   0.116050E+05
   0.533789E-01   0.114394E+05
   0.544572E-01   0.112806E+05
   0.555573E-01   0.111278E+05
   0.566796E-01   0.109804E+05
   0.578246E-01   0.108375E+05
   0.589927E-01   0.106980E+05
   0.601845E-01   0.105607E+05
   0.614003E-01   0.104247E+05
   0.626407E-01   0.102885E+05
   0.639061E-01   0.101509E+05
   0.651971E-01   0.100103E+05
   0.665142E-01   0.986535E+04
   0.678578E-01   0.971459E+04
   0.692287E-01   0.955651E+04
   0.706272E-01   0.938982E+04
