#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1472   0.790146E+03  -0.117313E+02   0.203937E-05  -0.117313E+02   0.984303E+01  -0.399224E-08   0.203937E-05  -0.399224E-08   0.349246E-08
  1473   0.787720E+03  -0.110275E+02   0.203613E-05  -0.110275E+02   0.986664E+01  -0.145942E-08   0.203613E-05  -0.145942E-08   0.348843E-08
  1474   0.785257E+03  -0.103299E+02   0.203285E-05  -0.103299E+02   0.989368E+01   0.106226E-08   0.203285E-05   0.106226E-08   0.348441E-08
  1475   0.782742E+03  -0.963884E+01   0.202951E-05  -0.963884E+01   0.992391E+01   0.357256E-08   0.202951E-05   0.357256E-08   0.348040E-08
  1476   0.780190E+03  -0.895445E+01   0.202611E-05  -0.895445E+01   0.995749E+01   0.607125E-08   0.202611E-05   0.607125E-08   0.347640E-08
  1477   0.777592E+03  -0.827708E+01   0.202265E-05  -0.827708E+01   0.999425E+01   0.855810E-08   0.202265E-05   0.855810E-08   0.347240E-08
  1478   0.774950E+03  -0.760687E+01   0.201910E-05  -0.760687E+01   0.100341E+02   0.110329E-07   0.201910E-05   0.110329E-07   0.346841E-08
  1479   0.772270E+03  -0.694403E+01   0.201547E-05  -0.694403E+01   0.100773E+02   0.134954E-07   0.201547E-05   0.134954E-07   0.346442E-08
  1480   0.769545E+03  -0.628883E+01   0.201175E-05  -0.628883E+01   0.101235E+02   0.159453E-07   0.201175E-05   0.159453E-07   0.346044E-08
  1481   0.766783E+03  -0.564147E+01   0.200794E-05  -0.564147E+01   0.101729E+02   0.183825E-07   0.200794E-05   0.183825E-07   0.345647E-08
  1482   0.763976E+03  -0.500215E+01   0.200402E-05  -0.500215E+01   0.102253E+02   0.208067E-07   0.200402E-05   0.208067E-07   0.345251E-08
  1483   0.761131E+03  -0.437105E+01   0.199999E-05  -0.437105E+01   0.102807E+02   0.232176E-07   0.199999E-05   0.232176E-07   0.344855E-08
  1484   0.758256E+03  -0.374839E+01   0.199584E-05  -0.374839E+01   0.103391E+02   0.256151E-07   0.199584E-05   0.256151E-07   0.344460E-08
  1485   0.755337E+03  -0.313435E+01   0.199156E-05  -0.313435E+01   0.104004E+02   0.279989E-07   0.199156E-05   0.279989E-07   0.344066E-08
  1486   0.752387E+03  -0.252912E+01   0.198716E-05  -0.252912E+01   0.104646E+02   0.303688E-07   0.198716E-05   0.303688E-07   0.343672E-08
  1487   0.749392E+03  -0.193291E+01   0.198261E-05  -0.193291E+01   0.105317E+02   0.327245E-07   0.198261E-05   0.327245E-07   0.343279E-08
  1488   0.746368E+03  -0.134590E+01   0.197792E-05  -0.134590E+01   0.106016E+02   0.350659E-07   0.197792E-05   0.350659E-07   0.342887E-08
  1489   0.743313E+03  -0.768273E+00   0.197308E-05  -0.768273E+00   0.106743E+02   0.373926E-07   0.197308E-05   0.373926E-07   0.342495E-08
  1490   0.740217E+03  -0.200191E+00   0.196808E-05  -0.200191E+00   0.107497E+02   0.397045E-07   0.196808E-05   0.397045E-07   0.342104E-08
  1491   0.737091E+03   0.358174E+00   0.196291E-05   0.358174E+00   0.108277E+02   0.420013E-07   0.196291E-05   0.420013E-07   0.341714E-08
  1492   0.733933E+03   0.906654E+00   0.195756E-05   0.906654E+00   0.109084E+02   0.442828E-07   0.195756E-05   0.442828E-07   0.341324E-08
  1493   0.730745E+03   0.144507E+01   0.195204E-05   0.144507E+01   0.109917E+02   0.465487E-07   0.195204E-05   0.465487E-07   0.340935E-08
  1494   0.727525E+03   0.197326E+01   0.194633E-05   0.197326E+01   0.110774E+02   0.487989E-07   0.194633E-05   0.487989E-07   0.340546E-08
  1495   0.724277E+03   0.249106E+01   0.194042E-05   0.249106E+01   0.111657E+02   0.510330E-07   0.194042E-05   0.510330E-07   0.340159E-08
  1496   0.720999E+03   0.299832E+01   0.193432E-05   0.299832E+01   0.112564E+02   0.532510E-07   0.193432E-05   0.532510E-07   0.339772E-08
  1497   0.717695E+03   0.349492E+01   0.192800E-05   0.349492E+01   0.113494E+02   0.554524E-07   0.192800E-05   0.554524E-07   0.339385E-08
  1498   0.714363E+03   0.398074E+01   0.192147E-05   0.398074E+01   0.114448E+02   0.576372E-07   0.192147E-05   0.576372E-07   0.338999E-08
  1499   0.711006E+03   0.445563E+01   0.191471E-05   0.445563E+01   0.115424E+02   0.598050E-07   0.191471E-05   0.598050E-07   0.338614E-08
  1500   0.707624E+03   0.491946E+01   0.190773E-05   0.491946E+01   0.116423E+02   0.619557E-07   0.190773E-05   0.619557E-07   0.338230E-08
  1501   0.704217E+03   0.537210E+01   0.190051E-05   0.537210E+01   0.117443E+02   0.640890E-07   0.190051E-05   0.640890E-07   0.337846E-08
  1502   0.700789E+03   0.581344E+01   0.189306E-05   0.581344E+01   0.118484E+02   0.662048E-07   0.189306E-05   0.662048E-07   0.337463E-08
  1503   0.697338E+03   0.624335E+01   0.188539E-05   0.624335E+01   0.119545E+02   0.683032E-07   0.188539E-05   0.683032E-07   0.337080E-08
  1504   0.693866E+03   0.666175E+01   0.187749E-05   0.666175E+01   0.120627E+02   0.703839E-07   0.187749E-05   0.703839E-07   0.336698E-08
  1505   0.690374E+03   0.706852E+01   0.186938E-05   0.706852E+01   0.121728E+02   0.724471E-07   0.186938E-05   0.724471E-07   0.336317E-08
  1506   0.686862E+03   0.746356E+01   0.186105E-05   0.746356E+01   0.122847E+02   0.744926E-07   0.186105E-05   0.744926E-07   0.335936E-08
  1507   0.683331E+03   0.784676E+01   0.185252E-05   0.784676E+01   0.123984E+02   0.765203E-07   0.185252E-05   0.765203E-07   0.335556E-08
  1508   0.679783E+03   0.821801E+01   0.184378E-05   0.821801E+01   0.125140E+02   0.785303E-07   0.184378E-05   0.785303E-07   0.335177E-08
  1509   0.676218E+03   0.857731E+01   0.183485E-05   0.857731E+01   0.126311E+02   0.805224E-07   0.183485E-05   0.805224E-07   0.334798E-08
  1510   0.672637E+03   0.892443E+01   0.182572E-05   0.892443E+01   0.127500E+02   0.824966E-07   0.182572E-05   0.824966E-07   0.334420E-08
  1511   0.669041E+03   0.925946E+01   0.181641E-05   0.925946E+01   0.128703E+02   0.844528E-07   0.181641E-05   0.844528E-07   0.334043E-08
  1512   0.665433E+03   0.958231E+01   0.180691E-05   0.958231E+01   0.129923E+02   0.863910E-07   0.180691E-05   0.863910E-07   0.333666E-08
  1513   0.661811E+03   0.989299E+01   0.179723E-05   0.989299E+01   0.131156E+02   0.883112E-07   0.179723E-05   0.883112E-07   0.333290E-08
  1514   0.658179E+03   0.101913E+02   0.178738E-05   0.101913E+02   0.132403E+02   0.902132E-07   0.178738E-05   0.902132E-07   0.332914E-08
  1515   0.654538E+03   0.104774E+02   0.177736E-05   0.104774E+02   0.133664E+02   0.920971E-07   0.177736E-05   0.920971E-07   0.332539E-08
  1516   0.650887E+03   0.107511E+02   0.176718E-05   0.107511E+02   0.134938E+02   0.939627E-07   0.176718E-05   0.939627E-07   0.332165E-08
  1517   0.647229E+03   0.110124E+02   0.175684E-05   0.110124E+02   0.136223E+02   0.958100E-07   0.175684E-05   0.958100E-07   0.331792E-08
  1518   0.643564E+03   0.112613E+02   0.174635E-05   0.112613E+02   0.137520E+02   0.976389E-07   0.174635E-05   0.976389E-07   0.331419E-08
  1519   0.639893E+03   0.114978E+02   0.173570E-05   0.114978E+02   0.138828E+02   0.994495E-07   0.173570E-05   0.994495E-07   0.331046E-08
  1520   0.636217E+03   0.117217E+02   0.172492E-05   0.117217E+02   0.140145E+02   0.101242E-06   0.172492E-05   0.101242E-06   0.330674E-08
  1521   0.632537E+03   0.119332E+02   0.171399E-05   0.119332E+02   0.141472E+02   0.103015E-06   0.171399E-05   0.103015E-06   0.330303E-08
  1522   0.628853E+03   0.121322E+02   0.170292E-05   0.121322E+02   0.142809E+02   0.104770E-06   0.170292E-05   0.104770E-06   0.329933E-08
  1523   0.625167E+03   0.123185E+02   0.169173E-05   0.123185E+02   0.144153E+02   0.106506E-06   0.169173E-05   0.106506E-06   0.329563E-08
  1524   0.621481E+03   0.124923E+02   0.168041E-05   0.124923E+02   0.145505E+02   0.108224E-06   0.168041E-05   0.108224E-06   0.329193E-08
  1525   0.617793E+03   0.126535E+02   0.166898E-05   0.126535E+02   0.146863E+02   0.109923E-06   0.166898E-05   0.109923E-06   0.328825E-08
  1526   0.614107E+03   0.128022E+02   0.165742E-05   0.128022E+02   0.148229E+02   0.111603E-06   0.165742E-05   0.111603E-06   0.328457E-08
  1527   0.610422E+03   0.129384E+02   0.164576E-05   0.129384E+02   0.149600E+02   0.113264E-06   0.164576E-05   0.113264E-06   0.328089E-08
  1528   0.606740E+03   0.130620E+02   0.163399E-05   0.130620E+02   0.150975E+02   0.114906E-06   0.163399E-05   0.114906E-06   0.327722E-08
  1529   0.603062E+03   0.131732E+02   0.162212E-05   0.131732E+02   0.152355E+02   0.116530E-06   0.162212E-05   0.116530E-06   0.327356E-08
  1530   0.599388E+03   0.132718E+02   0.161015E-05   0.132718E+02   0.153739E+02   0.118134E-06   0.161015E-05   0.118134E-06   0.326990E-08
  1531   0.595719E+03   0.133580E+02   0.159809E-05   0.133580E+02   0.155126E+02   0.119719E-06   0.159809E-05   0.119719E-06   0.326625E-08
  1532   0.592056E+03   0.134317E+02   0.158595E-05   0.134317E+02   0.156515E+02   0.121285E-06   0.158595E-05   0.121285E-06   0.326261E-08
  1533   0.588402E+03   0.134930E+02   0.157372E-05   0.134930E+02   0.157906E+02   0.122832E-06   0.157372E-05   0.122832E-06   0.325897E-08
  1534   0.584755E+03   0.135420E+02   0.156142E-05   0.135420E+02   0.159298E+02   0.124360E-06   0.156142E-05   0.124360E-06   0.325534E-08
  1535   0.581116E+03   0.135786E+02   0.154905E-05   0.135786E+02   0.160690E+02   0.125868E-06   0.154905E-05   0.125868E-06   0.325171E-08
  1536   0.577488E+03   0.136029E+02   0.153661E-05   0.136029E+02   0.162082E+02   0.127357E-06   0.153661E-05   0.127357E-06   0.324809E-08
  1537   0.573869E+03   0.136149E+02   0.152410E-05   0.136149E+02   0.163473E+02   0.128826E-06   0.152410E-05   0.128826E-06   0.324448E-08
  1538   0.570262E+03   0.136147E+02   0.151154E-05   0.136147E+02   0.164863E+02   0.130276E-06   0.151154E-05   0.130276E-06   0.324087E-08
  1539   0.566668E+03   0.136024E+02   0.149893E-05   0.136024E+02   0.166250E+02   0.131707E-06   0.149893E-05   0.131707E-06   0.323727E-08
  1540   0.563087E+03   0.135781E+02   0.148627E-05   0.135781E+02   0.167634E+02   0.133118E-06   0.148627E-05   0.133118E-06   0.323367E-08
  1541   0.559519E+03   0.135417E+02   0.147356E-05   0.135417E+02   0.169015E+02   0.134509E-06   0.147356E-05   0.134509E-06   0.323008E-08
  1542   0.555968E+03   0.134935E+02   0.146082E-05   0.134935E+02   0.170392E+02   0.135880E-06   0.146082E-05   0.135880E-06   0.322650E-08
  1543   0.552432E+03   0.134335E+02   0.144805E-05   0.134335E+02   0.171764E+02   0.137232E-06   0.144805E-05   0.137232E-06   0.322292E-08
  1544   0.548914E+03   0.133618E+02   0.143524E-05   0.133618E+02   0.173132E+02   0.138564E-06   0.143524E-05   0.138564E-06   0.321935E-08
  1545   0.545412E+03   0.132785E+02   0.142241E-05   0.132785E+02   0.174493E+02   0.139876E-06   0.142241E-05   0.139876E-06   0.321578E-08
  1546   0.541930E+03   0.131836E+02   0.140957E-05   0.131836E+02   0.175847E+02   0.141168E-06   0.140957E-05   0.141168E-06   0.321222E-08
  1547   0.538467E+03   0.130773E+02   0.139671E-05   0.130773E+02   0.177194E+02   0.142440E-06   0.139671E-05   0.142440E-06   0.320866E-08
  1548   0.535023E+03   0.129597E+02   0.138384E-05   0.129597E+02   0.178535E+02   0.143692E-06   0.138384E-05   0.143692E-06   0.320512E-08
  1549   0.531601E+03   0.128308E+02   0.137097E-05   0.128308E+02   0.179866E+02   0.144924E-06   0.137097E-05   0.144924E-06   0.320157E-08
  1550   0.528200E+03   0.126907E+02   0.135809E-05   0.126907E+02   0.181188E+02   0.146136E-06   0.135809E-05   0.146136E-06   0.319803E-08
  1551   0.524821E+03   0.125397E+02   0.134523E-05   0.125397E+02   0.182501E+02   0.147327E-06   0.134523E-05   0.147327E-06   0.319450E-08
  1552   0.521465E+03   0.123776E+02   0.133237E-05   0.123776E+02   0.183803E+02   0.148499E-06   0.133237E-05   0.148499E-06   0.319098E-08
  1553   0.518133E+03   0.122049E+02   0.131952E-05   0.122049E+02   0.185095E+02   0.149650E-06   0.131952E-05   0.149650E-06   0.318746E-08
  1554   0.514825E+03   0.120214E+02   0.130668E-05   0.120214E+02   0.186376E+02   0.150780E-06   0.130668E-05   0.150780E-06   0.318394E-08
  1555   0.511541E+03   0.118274E+02   0.129385E-05   0.118274E+02   0.187644E+02   0.151891E-06   0.129385E-05   0.151891E-06   0.318044E-08
  1556   0.508284E+03   0.116230E+02   0.128104E-05   0.116230E+02   0.188900E+02   0.152981E-06   0.128104E-05   0.152981E-06   0.317693E-08
  1557   0.505053E+03   0.114084E+02   0.126824E-05   0.114084E+02   0.190144E+02   0.154051E-06   0.126824E-05   0.154051E-06   0.317344E-08
  1558   0.501849E+03   0.111836E+02   0.125547E-05   0.111836E+02   0.191373E+02   0.155101E-06   0.125547E-05   0.155101E-06   0.316994E-08
  1559   0.498673E+03   0.109490E+02   0.124271E-05   0.109490E+02   0.192589E+02   0.156130E-06   0.124271E-05   0.156130E-06   0.316646E-08
  1560   0.495526E+03   0.107044E+02   0.122998E-05   0.107044E+02   0.193791E+02   0.157139E-06   0.122998E-05   0.157139E-06   0.316298E-08
  1561   0.492407E+03   0.104503E+02   0.121727E-05   0.104503E+02   0.194977E+02   0.158128E-06   0.121727E-05   0.158128E-06   0.315950E-08
  1562   0.489318E+03   0.101866E+02   0.120459E-05   0.101866E+02   0.196148E+02   0.159096E-06   0.120459E-05   0.159096E-06   0.315604E-08
  1563   0.486259E+03   0.991363E+01   0.119194E-05   0.991363E+01   0.197304E+02   0.160044E-06   0.119194E-05   0.160044E-06   0.315257E-08
  1564   0.483232E+03   0.963148E+01   0.117932E-05   0.963148E+01   0.198443E+02   0.160971E-06   0.117932E-05   0.160971E-06   0.314912E-08
  1565   0.480236E+03   0.934039E+01   0.116672E-05   0.934039E+01   0.199564E+02   0.161878E-06   0.116672E-05   0.161878E-06   0.314566E-08
  1566   0.477272E+03   0.904042E+01   0.115417E-05   0.904042E+01   0.200669E+02   0.162765E-06   0.115417E-05   0.162765E-06   0.314222E-08
  1567   0.474340E+03   0.873181E+01   0.114165E-05   0.873181E+01   0.201756E+02   0.163631E-06   0.114165E-05   0.163631E-06   0.313878E-08
  1568   0.471442E+03   0.841462E+01   0.112916E-05   0.841462E+01   0.202824E+02   0.164477E-06   0.112916E-05   0.164477E-06   0.313534E-08
  1569   0.468577E+03   0.808915E+01   0.111672E-05   0.808915E+01   0.203873E+02   0.165302E-06   0.111672E-05   0.165302E-06   0.313191E-08
  1570   0.465746E+03   0.775555E+01   0.110432E-05   0.775555E+01   0.204904E+02   0.166106E-06   0.110432E-05   0.166106E-06   0.312849E-08
  1571   0.462950E+03   0.741392E+01   0.109196E-05   0.741392E+01   0.205914E+02   0.166891E-06   0.109196E-05   0.166891E-06   0.312507E-08
  1572   0.460188E+03   0.706446E+01   0.107965E-05   0.706446E+01   0.206904E+02   0.167655E-06   0.107965E-05   0.167655E-06   0.312166E-08
  1573   0.457462E+03   0.670738E+01   0.106738E-05   0.670738E+01   0.207874E+02   0.168398E-06   0.106738E-05   0.168398E-06   0.311825E-08
  1574   0.454772E+03   0.634289E+01   0.105516E-05   0.634289E+01   0.208822E+02   0.169120E-06   0.105516E-05   0.169120E-06   0.311485E-08
  1575   0.452119E+03   0.597118E+01   0.104300E-05   0.597118E+01   0.209750E+02   0.169823E-06   0.104300E-05   0.169823E-06   0.311146E-08
  1576   0.449502E+03   0.559248E+01   0.103088E-05   0.559248E+01   0.210656E+02   0.170504E-06   0.103088E-05   0.170504E-06   0.310807E-08
  1577   0.446922E+03   0.520697E+01   0.101883E-05   0.520697E+01   0.211539E+02   0.171165E-06   0.101883E-05   0.171165E-06   0.310468E-08
  1578   0.444381E+03   0.481487E+01   0.100683E-05   0.481487E+01   0.212401E+02   0.171806E-06   0.100683E-05   0.171806E-06   0.310130E-08
  1579   0.441878E+03   0.441639E+01   0.994884E-06   0.441639E+01   0.213240E+02   0.172425E-06   0.994884E-06   0.172425E-06   0.309793E-08
  1580   0.439412E+03   0.401171E+01   0.983002E-06   0.401171E+01   0.214056E+02   0.173025E-06   0.983002E-06   0.173025E-06   0.309456E-08
  1581   0.436986E+03   0.360102E+01   0.971183E-06   0.360102E+01   0.214850E+02   0.173603E-06   0.971183E-06   0.173603E-06   0.309120E-08
  1582   0.434600E+03   0.318453E+01   0.959428E-06   0.318453E+01   0.215620E+02   0.174161E-06   0.959428E-06   0.174161E-06   0.308784E-08
  1583   0.432252E+03   0.276242E+01   0.947740E-06   0.276242E+01   0.216365E+02   0.174698E-06   0.947740E-06   0.174698E-06   0.308449E-08
  1584   0.429944E+03   0.233489E+01   0.936119E-06   0.233489E+01   0.217087E+02   0.175215E-06   0.936119E-06   0.175215E-06   0.308114E-08
  1585   0.427676E+03   0.190212E+01   0.924569E-06   0.190212E+01   0.217783E+02   0.175711E-06   0.924569E-06   0.175711E-06   0.307780E-08
  1586   0.425448E+03   0.146431E+01   0.913091E-06   0.146431E+01   0.218455E+02   0.176186E-06   0.913091E-06   0.176186E-06   0.307447E-08
  1587   0.423260E+03   0.102166E+01   0.901687E-06   0.102166E+01   0.219102E+02   0.176640E-06   0.901687E-06   0.176640E-06   0.307114E-08
  1588   0.421113E+03   0.574394E+00   0.890358E-06   0.574394E+00   0.219723E+02   0.177074E-06   0.890358E-06   0.177074E-06   0.306781E-08
  1589   0.419006E+03   0.122703E+00   0.879107E-06   0.122703E+00   0.220319E+02   0.177487E-06   0.879107E-06   0.177487E-06   0.306449E-08
  1590   0.416940E+03  -0.333199E+00   0.867936E-06  -0.333199E+00   0.220888E+02   0.177879E-06   0.867936E-06   0.177879E-06   0.306118E-08
  1591   0.414915E+03  -0.793109E+00   0.856846E-06  -0.793109E+00   0.221432E+02   0.178251E-06   0.856846E-06   0.178251E-06   0.305787E-08
  1592   0.412931E+03  -0.125681E+01   0.845840E-06  -0.125681E+01   0.221949E+02   0.178602E-06   0.845840E-06   0.178602E-06   0.305457E-08
  1593   0.410989E+03  -0.172410E+01   0.834919E-06  -0.172410E+01   0.222439E+02   0.178931E-06   0.834919E-06   0.178931E-06   0.305127E-08
  1594   0.409088E+03  -0.219477E+01   0.824085E-06  -0.219477E+01   0.222902E+02   0.179241E-06   0.824085E-06   0.179241E-06   0.304797E-08
  1595   0.407228E+03  -0.266861E+01   0.813341E-06  -0.266861E+01   0.223338E+02   0.179529E-06   0.813341E-06   0.179529E-06   0.304469E-08
  1596   0.405410E+03  -0.314540E+01   0.802687E-06  -0.314540E+01   0.223747E+02   0.179796E-06   0.802687E-06   0.179796E-06   0.304140E-08
  1597   0.403633E+03  -0.362493E+01   0.792126E-06  -0.362493E+01   0.224129E+02   0.180043E-06   0.792126E-06   0.180043E-06   0.303813E-08
  1598   0.401899E+03  -0.410699E+01   0.781660E-06  -0.410699E+01   0.224483E+02   0.180269E-06   0.781660E-06   0.180269E-06   0.303486E-08
  1599   0.400205E+03  -0.459136E+01   0.771291E-06  -0.459136E+01   0.224810E+02   0.180473E-06   0.771291E-06   0.180473E-06   0.303159E-08
  1600   0.398555E+03  -0.507783E+01   0.761020E-06  -0.507783E+01   0.225109E+02   0.180657E-06   0.761020E-06   0.180657E-06   0.302833E-08
  1601   0.396945E+03  -0.556622E+01   0.750850E-06  -0.556622E+01   0.225380E+02   0.180820E-06   0.750850E-06   0.180820E-06   0.302507E-08
  1602   0.395377E+03  -0.605630E+01   0.740781E-06  -0.605630E+01   0.225623E+02   0.180963E-06   0.740781E-06   0.180963E-06   0.302182E-08
  1603   0.393851E+03  -0.654788E+01   0.730815E-06  -0.654788E+01   0.225837E+02   0.181084E-06   0.730815E-06   0.181084E-06   0.301858E-08
  1604   0.392367E+03  -0.704075E+01   0.720952E-06  -0.704075E+01   0.226023E+02   0.181185E-06   0.720952E-06   0.181185E-06   0.301534E-08
  1605   0.390924E+03  -0.753475E+01   0.711194E-06  -0.753475E+01   0.226181E+02   0.181266E-06   0.711194E-06   0.181266E-06   0.301210E-08
  1606   0.389522E+03  -0.802962E+01   0.701542E-06  -0.802962E+01   0.226310E+02   0.181327E-06   0.701542E-06   0.181327E-06   0.300887E-08
  1607   0.388161E+03  -0.852513E+01   0.691996E-06  -0.852513E+01   0.226410E+02   0.181367E-06   0.691996E-06   0.181367E-06   0.300565E-08
  1608   0.386842E+03  -0.902119E+01   0.682559E-06  -0.902119E+01   0.226482E+02   0.181388E-06   0.682559E-06   0.181388E-06   0.300243E-08
  1609   0.385564E+03  -0.951743E+01   0.673230E-06  -0.951743E+01   0.226524E+02   0.181389E-06   0.673230E-06   0.181389E-06   0.299921E-08
  1610   0.384326E+03  -0.100138E+02   0.664010E-06  -0.100138E+02   0.226538E+02   0.181370E-06   0.664010E-06   0.181370E-06   0.299600E-08
  1611   0.383130E+03  -0.105099E+02   0.654902E-06  -0.105099E+02   0.226525E+02   0.181332E-06   0.654902E-06   0.181332E-06   0.299280E-08
  1612   0.381974E+03  -0.110056E+02   0.645906E-06  -0.110056E+02   0.226483E+02   0.181274E-06   0.645906E-06   0.181274E-06   0.298960E-08
  1613   0.380858E+03  -0.115008E+02   0.637022E-06  -0.115008E+02   0.226412E+02   0.181197E-06   0.637022E-06   0.181197E-06   0.298641E-08
  1614   0.379783E+03  -0.119950E+02   0.628253E-06  -0.119950E+02   0.226314E+02   0.181101E-06   0.628253E-06   0.181101E-06   0.298322E-08
  1615   0.378748E+03  -0.124883E+02   0.619598E-06  -0.124883E+02   0.226189E+02   0.180986E-06   0.619598E-06   0.180986E-06   0.298003E-08
  1616   0.377754E+03  -0.129804E+02   0.611060E-06  -0.129804E+02   0.226035E+02   0.180852E-06   0.611060E-06   0.180852E-06   0.297685E-08
  1617   0.376798E+03  -0.134710E+02   0.602638E-06  -0.134710E+02   0.225853E+02   0.180700E-06   0.602638E-06   0.180700E-06   0.297368E-08
  1618   0.375882E+03  -0.139601E+02   0.594335E-06  -0.139601E+02   0.225644E+02   0.180529E-06   0.594335E-06   0.180529E-06   0.297051E-08
  1619   0.375005E+03  -0.144473E+02   0.586151E-06  -0.144473E+02   0.225406E+02   0.180339E-06   0.586151E-06   0.180339E-06   0.296735E-08
  1620   0.374167E+03  -0.149326E+02   0.578087E-06  -0.149326E+02   0.225142E+02   0.180131E-06   0.578087E-06   0.180131E-06   0.296419E-08
  1621   0.373367E+03  -0.154158E+02   0.570144E-06  -0.154158E+02   0.224849E+02   0.179906E-06   0.570144E-06   0.179906E-06   0.296104E-08
  1622   0.372606E+03  -0.158965E+02   0.562324E-06  -0.158965E+02   0.224529E+02   0.179662E-06   0.562324E-06   0.179662E-06   0.295789E-08
  1623   0.371882E+03  -0.163748E+02   0.554627E-06  -0.163748E+02   0.224181E+02   0.179400E-06   0.554627E-06   0.179400E-06   0.295474E-08
  1624   0.371196E+03  -0.168503E+02   0.547054E-06  -0.168503E+02   0.223806E+02   0.179121E-06   0.547054E-06   0.179121E-06   0.295161E-08
  1625   0.370547E+03  -0.173229E+02   0.539606E-06  -0.173229E+02   0.223404E+02   0.178824E-06   0.539606E-06   0.178824E-06   0.294847E-08
  1626   0.369935E+03  -0.177924E+02   0.532285E-06  -0.177924E+02   0.222977E+02   0.178510E-06   0.532285E-06   0.178510E-06   0.294534E-08
  1627   0.369359E+03  -0.182586E+02   0.525092E-06  -0.182586E+02   0.222521E+02   0.178179E-06   0.525092E-06   0.178179E-06   0.294222E-08
  1628   0.368820E+03  -0.187213E+02   0.518027E-06  -0.187213E+02   0.222040E+02   0.177830E-06   0.518027E-06   0.177830E-06   0.293910E-08
  1629   0.368316E+03  -0.191804E+02   0.511091E-06  -0.191804E+02   0.221533E+02   0.177464E-06   0.511091E-06   0.177464E-06   0.293599E-08
  1630   0.367848E+03  -0.196356E+02   0.504286E-06  -0.196356E+02   0.220999E+02   0.177082E-06   0.504286E-06   0.177082E-06   0.293288E-08
  1631   0.367414E+03  -0.200869E+02   0.497613E-06  -0.200869E+02   0.220440E+02   0.176682E-06   0.497613E-06   0.176682E-06   0.292978E-08
  1632   0.367015E+03  -0.205340E+02   0.491072E-06  -0.205340E+02   0.219854E+02   0.176267E-06   0.491072E-06   0.176267E-06   0.292668E-08
  1633   0.366649E+03  -0.209768E+02   0.484665E-06  -0.209768E+02   0.219244E+02   0.175834E-06   0.484665E-06   0.175834E-06   0.292358E-08
  1634   0.366318E+03  -0.214150E+02   0.478392E-06  -0.214150E+02   0.218608E+02   0.175386E-06   0.478392E-06   0.175386E-06   0.292050E-08
  1635   0.366019E+03  -0.218487E+02   0.472255E-06  -0.218487E+02   0.217946E+02   0.174921E-06   0.472255E-06   0.174921E-06   0.291741E-08
  1636   0.365753E+03  -0.222776E+02   0.466255E-06  -0.222776E+02   0.217260E+02   0.174441E-06   0.466255E-06   0.174441E-06   0.291433E-08
  1637   0.365520E+03  -0.227015E+02   0.460393E-06  -0.227015E+02   0.216550E+02   0.173944E-06   0.460393E-06   0.173944E-06   0.291126E-08
  1638   0.365317E+03  -0.231203E+02   0.454670E-06  -0.231203E+02   0.215814E+02   0.173432E-06   0.454670E-06   0.173432E-06   0.290819E-08
  1639   0.365147E+03  -0.235338E+02   0.449087E-06  -0.235338E+02   0.215055E+02   0.172904E-06   0.449087E-06   0.172904E-06   0.290512E-08
  1640   0.365007E+03  -0.239420E+02   0.443644E-06  -0.239420E+02   0.214273E+02   0.172360E-06   0.443644E-06   0.172360E-06   0.290206E-08
  1641   0.364896E+03  -0.243445E+02   0.438343E-06  -0.243445E+02   0.213468E+02   0.171802E-06   0.438343E-06   0.171802E-06   0.289901E-08
  1642   0.364816E+03  -0.247414E+02   0.433186E-06  -0.247414E+02   0.212639E+02   0.171228E-06   0.433186E-06   0.171228E-06   0.289596E-08
  1643   0.364765E+03  -0.251324E+02   0.428172E-06  -0.251324E+02   0.211789E+02   0.170639E-06   0.428172E-06   0.170639E-06   0.289291E-08
  1644   0.364743E+03  -0.255175E+02   0.423304E-06  -0.255175E+02   0.210916E+02   0.170035E-06   0.423304E-06   0.170035E-06   0.288987E-08
  1645   0.364748E+03  -0.258964E+02   0.418581E-06  -0.258964E+02   0.210022E+02   0.169416E-06   0.418581E-06   0.169416E-06   0.288684E-08
  1646   0.364782E+03  -0.262692E+02   0.414006E-06  -0.262692E+02   0.209105E+02   0.168783E-06   0.414006E-06   0.168783E-06   0.288381E-08
  1647   0.364842E+03  -0.266356E+02   0.409579E-06  -0.266356E+02   0.208168E+02   0.168135E-06   0.409579E-06   0.168135E-06   0.288078E-08
  1648   0.364928E+03  -0.269955E+02   0.405301E-06  -0.269955E+02   0.207210E+02   0.167473E-06   0.405301E-06   0.167473E-06   0.287776E-08
  1649   0.365041E+03  -0.273488E+02   0.401173E-06  -0.273488E+02   0.206231E+02   0.166797E-06   0.401173E-06   0.166797E-06   0.287474E-08
  1650   0.365178E+03  -0.276953E+02   0.397197E-06  -0.276953E+02   0.205231E+02   0.166107E-06   0.397197E-06   0.166107E-06   0.287173E-08
  1651   0.365341E+03  -0.280350E+02   0.393373E-06  -0.280350E+02   0.204211E+02   0.165403E-06   0.393373E-06   0.165403E-06   0.286873E-08
  1652   0.365527E+03  -0.283679E+02   0.389702E-06  -0.283679E+02   0.203173E+02   0.164685E-06   0.389702E-06   0.164685E-06   0.286572E-08
