#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    86   0.219186E+04  -0.121397E+02   0.431943E-03  -0.121397E+02   0.558769E+00  -0.926807E-06   0.431943E-03  -0.926807E-06   0.110672E-06
    87   0.221759E+04  -0.127345E+02   0.426160E-03  -0.127345E+02   0.574208E+00  -0.987253E-06   0.426160E-03  -0.987253E-06   0.110002E-06
    88   0.224357E+04  -0.133365E+02   0.420514E-03  -0.133365E+02   0.589692E+00  -0.104079E-05   0.420514E-03  -0.104079E-05   0.109336E-06
    89   0.226980E+04  -0.139454E+02   0.415004E-03  -0.139454E+02   0.605207E+00  -0.108675E-05   0.415004E-03  -0.108675E-05   0.108671E-06
    90   0.229630E+04  -0.145609E+02   0.409627E-03  -0.145609E+02   0.620735E+00  -0.112449E-05   0.409627E-03  -0.112449E-05   0.108010E-06
    91   0.232307E+04  -0.151825E+02   0.404383E-03  -0.151825E+02   0.636263E+00  -0.115357E-05   0.404383E-03  -0.115357E-05   0.107352E-06
    92   0.235011E+04  -0.158099E+02   0.399266E-03  -0.158099E+02   0.651777E+00  -0.117444E-05   0.399266E-03  -0.117444E-05   0.106696E-06
    93   0.237744E+04  -0.164426E+02   0.394273E-03  -0.164426E+02   0.667262E+00  -0.118779E-05   0.394273E-03  -0.118779E-05   0.106044E-06
    94   0.240504E+04  -0.170804E+02   0.389399E-03  -0.170804E+02   0.682705E+00  -0.119427E-05   0.389399E-03  -0.119427E-05   0.105395E-06
    95   0.243295E+04  -0.177228E+02   0.384640E-03  -0.177228E+02   0.698091E+00  -0.119458E-05   0.384640E-03  -0.119458E-05   0.104748E-06
    96   0.246114E+04  -0.183694E+02   0.379991E-03  -0.183694E+02   0.713406E+00  -0.118938E-05   0.379991E-03  -0.118938E-05   0.104105E-06
    97   0.248962E+04  -0.190198E+02   0.375448E-03  -0.190198E+02   0.728636E+00  -0.117934E-05   0.375448E-03  -0.117934E-05   0.103466E-06
