#    L    TT             EE             BB             TE          
   215   0.755699E+01   0.161536E-01   0.120924E-01   0.575695E-01
   216   0.756786E+01   0.160083E-01   0.121120E-01   0.516889E-01
   217   0.757442E+01   0.158796E-01   0.121359E-01   0.457391E-01
   218   0.757674E+01   0.157671E-01   0.121639E-01   0.397307E-01
   219   0.757492E+01   0.156705E-01   0.121957E-01   0.336741E-01
   220   0.756903E+01   0.155891E-01   0.122310E-01   0.275798E-01
   221   0.755917E+01   0.155227E-01   0.122696E-01   0.214584E-01
   222   0.754540E+01   0.154706E-01   0.123113E-01   0.153204E-01
   223   0.752782E+01   0.154325E-01   0.123557E-01   0.917621E-02
   224   0.750650E+01   0.154079E-01   0.124026E-01   0.303638E-02
   225   0.748154E+01   0.153963E-01   0.124518E-01  -0.308859E-02
   226   0.745301E+01   0.153973E-01   0.125030E-01  -0.918819E-02
   227   0.742101E+01   0.154104E-01   0.125559E-01  -0.152519E-01
   228   0.738560E+01   0.154352E-01   0.126103E-01  -0.212693E-01
   229   0.734688E+01   0.154711E-01   0.126659E-01  -0.272298E-01
   230   0.730493E+01   0.155178E-01   0.127225E-01  -0.331229E-01
   231   0.725983E+01   0.155748E-01   0.127797E-01  -0.389381E-01
   232   0.721166E+01   0.156416E-01   0.128374E-01  -0.446649E-01
   233   0.716052E+01   0.157177E-01   0.128953E-01  -0.502928E-01
   234   0.710647E+01   0.158027E-01   0.129531E-01  -0.558114E-01
   235   0.704961E+01   0.158962E-01   0.130106E-01  -0.612100E-01
   236   0.699002E+01   0.159977E-01   0.130674E-01  -0.664782E-01
   237   0.692778E+01   0.161066E-01   0.131234E-01  -0.716056E-01
   238   0.686298E+01   0.162227E-01   0.131783E-01  -0.765815E-01
   239   0.679570E+01   0.163453E-01   0.132318E-01  -0.813955E-01
   240   0.672602E+01   0.164741E-01   0.132837E-01  -0.860371E-01
   241   0.665402E+01   0.166085E-01   0.133337E-01  -0.904958E-01
   242   0.657979E+01   0.167482E-01   0.133815E-01  -0.947610E-01
   243   0.650342E+01   0.168927E-01   0.134270E-01  -0.988223E-01
   244   0.642498E+01   0.170414E-01   0.134697E-01  -0.102669E+00
   245   0.634456E+01   0.171940E-01   0.135095E-01  -0.106291E+00
   246   0.626224E+01   0.173500E-01   0.135462E-01  -0.109678E+00
   247   0.617810E+01   0.175089E-01   0.135794E-01  -0.112818E+00
   248   0.609224E+01   0.176703E-01   0.136088E-01  -0.115702E+00
   249   0.600473E+01   0.178337E-01   0.136344E-01  -0.118320E+00
   250   0.591565E+01   0.179987E-01   0.136556E-01  -0.120659E+00
   251   0.582510E+01   0.181648E-01   0.136725E-01  -0.122714E+00
   252   0.573316E+01   0.183317E-01   0.136850E-01  -0.124488E+00
   253   0.563994E+01   0.184992E-01   0.136931E-01  -0.125987E+00
   254   0.554552E+01   0.186671E-01   0.136970E-01  -0.127220E+00
   255   0.545002E+01   0.188352E-01   0.136968E-01  -0.128193E+00
   256   0.535353E+01   0.190031E-01   0.136926E-01  -0.128912E+00
   257   0.525614E+01   0.191707E-01   0.136843E-01  -0.129385E+00
   258   0.515795E+01   0.193377E-01   0.136722E-01  -0.129619E+00
   259   0.505906E+01   0.195038E-01   0.136563E-01  -0.129621E+00
   260   0.495957E+01   0.196689E-01   0.136366E-01  -0.129398E+00
   261   0.485958E+01   0.198326E-01   0.136133E-01  -0.128957E+00
   262   0.475918E+01   0.199948E-01   0.135865E-01  -0.128304E+00
   263   0.465847E+01   0.201553E-01   0.135563E-01  -0.127447E+00
   264   0.455755E+01   0.203136E-01   0.135226E-01  -0.126392E+00
   265   0.445652E+01   0.204697E-01   0.134857E-01  -0.125148E+00
   266   0.435547E+01   0.206233E-01   0.134456E-01  -0.123719E+00
   267   0.425450E+01   0.207741E-01   0.134024E-01  -0.122115E+00
   268   0.415371E+01   0.209220E-01   0.133561E-01  -0.120341E+00
   269   0.405320E+01   0.210666E-01   0.133069E-01  -0.118404E+00
   270   0.395306E+01   0.212077E-01   0.132549E-01  -0.116312E+00
   271   0.385340E+01   0.213451E-01   0.132001E-01  -0.114071E+00
   272   0.375430E+01   0.214785E-01   0.131426E-01  -0.111689E+00
   273   0.365587E+01   0.216077E-01   0.130825E-01  -0.109172E+00
   274   0.355821E+01   0.217325E-01   0.130198E-01  -0.106528E+00
   275   0.346141E+01   0.218526E-01   0.129548E-01  -0.103763E+00
   276   0.336557E+01   0.219678E-01   0.128874E-01  -0.100884E+00
   277   0.327079E+01   0.220778E-01   0.128178E-01  -0.978985E-01
   278   0.317717E+01   0.221824E-01   0.127460E-01  -0.948132E-01
   279   0.308480E+01   0.222814E-01   0.126721E-01  -0.916352E-01
   280   0.299378E+01   0.223745E-01   0.125962E-01  -0.883713E-01
   281   0.290421E+01   0.224615E-01   0.125184E-01  -0.850286E-01
