#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.195486E-02   0.176158E+08   0.176129E+08   0.599297E+05   0.595913E+05   0.165045E+08   0.176110E+08   0.176153E+08   0.176110E+08  -0.451858E+00   0.894579E+07   0.894524E+07   0.938061E+02
   0.215860E-02   0.175325E+08   0.175296E+08   0.323959E+05   0.341337E+05   0.162512E+08   0.175271E+08   0.175321E+08   0.175271E+08  -0.449703E+00   0.890321E+07   0.890267E+07   0.835256E+02
   0.238358E-02   0.174379E+08   0.174349E+08   0.433879E+05   0.396478E+05   0.159723E+08   0.174317E+08   0.174374E+08   0.174317E+08  -0.447255E+00   0.885483E+07   0.885429E+07   0.749328E+02
   0.263200E-02   0.173307E+08   0.173276E+08   0.112256E+05   0.553384E+04   0.156680E+08   0.173237E+08   0.173302E+08   0.173237E+08  -0.444483E+00   0.880006E+07   0.879952E+07   0.678339E+02
   0.290631E-02   0.172098E+08   0.172065E+08   0.116663E+05   0.834812E+04   0.153383E+08   0.172020E+08   0.172093E+08   0.172020E+08  -0.441358E+00   0.873829E+07   0.873775E+07   0.617218E+02
   0.320921E-02   0.170739E+08   0.170704E+08   0.107510E+04  -0.198423E+04   0.149826E+08   0.170652E+08   0.170733E+08   0.170652E+08  -0.437848E+00   0.866891E+07   0.866837E+07   0.560683E+02
   0.354368E-02   0.169217E+08   0.169180E+08  -0.232865E+04  -0.186405E+04   0.145998E+08   0.169121E+08   0.169212E+08   0.169121E+08  -0.433920E+00   0.859128E+07   0.859074E+07   0.505783E+02
   0.391301E-02   0.167521E+08   0.167482E+08  -0.985687E+04  -0.815861E+04   0.141893E+08   0.167415E+08   0.167515E+08   0.167415E+08  -0.429543E+00   0.850476E+07   0.850422E+07   0.453565E+02
   0.432084E-02   0.165637E+08   0.165595E+08  -0.306957E+04  -0.185812E+04   0.137503E+08   0.165521E+08   0.165631E+08   0.165521E+08  -0.424683E+00   0.840869E+07   0.840817E+07   0.407134E+02
   0.477116E-02   0.163553E+08   0.163507E+08  -0.404638E+04   0.140752E+05   0.132829E+08   0.163426E+08   0.163546E+08   0.163426E+08  -0.419307E+00   0.830243E+07   0.830191E+07   0.367550E+02
   0.526842E-02   0.161255E+08   0.161204E+08  -0.602182E+04   0.147708E+05   0.127871E+08   0.161117E+08   0.161248E+08   0.161117E+08  -0.413383E+00   0.818533E+07   0.818480E+07   0.332258E+02
   0.581751E-02   0.158735E+08   0.158678E+08  -0.482451E+04   0.138608E+05   0.122380E+08   0.158584E+08   0.158726E+08   0.158584E+08  -0.406884E+00   0.805685E+07   0.805633E+07   0.299020E+02
   0.642382E-02   0.155971E+08   0.155908E+08  -0.401092E+04   0.122304E+05   0.116718E+08   0.155808E+08   0.155962E+08   0.155808E+08  -0.399761E+00   0.791604E+07   0.791552E+07   0.269003E+02
   0.709332E-02   0.152955E+08   0.152884E+08  -0.376316E+04   0.100614E+05   0.110764E+08   0.152780E+08   0.152944E+08   0.152780E+08  -0.391990E+00   0.776240E+07   0.776188E+07   0.243057E+02
   0.783261E-02   0.149672E+08   0.149591E+08  -0.387060E+04   0.803720E+04   0.104608E+08   0.149484E+08   0.149660E+08   0.149484E+08  -0.383534E+00   0.759520E+07   0.759469E+07   0.219359E+02
   0.864894E-02   0.146114E+08   0.146022E+08  -0.301703E+04   0.693919E+04   0.983132E+07   0.145914E+08   0.146101E+08   0.145914E+08  -0.374375E+00   0.741408E+07   0.741356E+07   0.198095E+02
   0.955035E-02   0.142271E+08   0.142165E+08  -0.229481E+04   0.563183E+04   0.918642E+07   0.142059E+08   0.142255E+08   0.142059E+08  -0.364482E+00   0.721844E+07   0.721792E+07   0.179438E+02
   0.105457E-01   0.138129E+08   0.138008E+08  -0.216057E+04   0.435793E+04   0.852736E+07   0.137905E+08   0.138111E+08   0.137905E+08  -0.353826E+00   0.700767E+07   0.700716E+07   0.162557E+02
   0.116448E-01   0.133681E+08   0.133542E+08  -0.182170E+04   0.332630E+04   0.786253E+07   0.133446E+08   0.133660E+08   0.133446E+08  -0.342384E+00   0.678134E+07   0.678082E+07   0.147754E+02
   0.128584E-01   0.128917E+08   0.128757E+08  -0.153639E+04   0.269518E+04   0.719888E+07   0.128672E+08   0.128894E+08   0.128672E+08  -0.330136E+00   0.653903E+07   0.653851E+07   0.134489E+02
   0.141986E-01   0.123834E+08   0.123649E+08  -0.122136E+04   0.208638E+04   0.653956E+07   0.123579E+08   0.123807E+08   0.123579E+08  -0.317068E+00   0.628049E+07   0.627997E+07   0.122739E+02
   0.156784E-01   0.118428E+08   0.118217E+08  -0.117919E+04   0.168526E+04   0.588997E+07   0.118165E+08   0.118397E+08   0.118165E+08  -0.303178E+00   0.600564E+07   0.600511E+07   0.112277E+02
   0.173124E-01   0.112705E+08   0.112463E+08  -0.776270E+03   0.132330E+04   0.525819E+07   0.112435E+08   0.112669E+08   0.112435E+08  -0.288475E+00   0.571467E+07   0.571413E+07   0.102857E+02
   0.191168E-01   0.106676E+08   0.106402E+08  -0.630438E+03   0.106645E+04   0.464860E+07   0.106401E+08   0.106636E+08   0.106401E+08  -0.272995E+00   0.540828E+07   0.540774E+07   0.943021E+01
   0.211091E-01   0.100370E+08   0.100062E+08  -0.413646E+03   0.807938E+03   0.406815E+07   0.100092E+08   0.100325E+08   0.100092E+08  -0.256808E+00   0.508785E+07   0.508730E+07   0.864051E+01
   0.233092E-01   0.938292E+07   0.934871E+07  -0.402493E+03   0.590064E+03   0.352176E+07   0.935503E+07   0.937789E+07   0.935503E+07  -0.240024E+00   0.475556E+07   0.475501E+07   0.789441E+01
   0.257385E-01   0.871191E+07   0.867452E+07  -0.295899E+03   0.449969E+03   0.301500E+07   0.868420E+07   0.870641E+07   0.868420E+07  -0.222812E+00   0.441477E+07   0.441422E+07   0.716869E+01
   0.284210E-01   0.803373E+07   0.799369E+07  -0.213088E+03   0.338266E+03   0.255235E+07   0.800647E+07   0.802784E+07   0.800647E+07  -0.205423E+00   0.407044E+07   0.406989E+07   0.644712E+01
   0.313831E-01   0.736116E+07   0.731934E+07  -0.169680E+03   0.266530E+03   0.213747E+07   0.733464E+07   0.735501E+07   0.733464E+07  -0.188186E+00   0.372907E+07   0.372853E+07   0.571295E+01
   0.346540E-01   0.670923E+07   0.666691E+07  -0.113619E+03   0.194772E+03   0.177279E+07   0.668376E+07   0.670300E+07   0.668376E+07  -0.171486E+00   0.339830E+07   0.339779E+07   0.495733E+01
   0.382657E-01   0.609472E+07   0.605355E+07  -0.974579E+02   0.150622E+03   0.145909E+07   0.607060E+07   0.608867E+07   0.607060E+07  -0.155754E+00   0.308669E+07   0.308621E+07   0.418178E+01
   0.422538E-01   0.553440E+07   0.549626E+07  -0.886508E+02   0.111576E+03   0.119533E+07   0.551187E+07   0.552879E+07   0.551187E+07  -0.141419E+00   0.280271E+07   0.280228E+07   0.340159E+01
