#    L    TT             EE             BB             TE          
   207   0.740368E+04   0.723658E+00   0.272878E-01  -0.240559E+02
   208   0.733381E+04   0.729540E+00   0.274243E-01  -0.224914E+02
   209   0.726403E+04   0.736562E+00   0.275679E-01  -0.209312E+02
   210   0.719435E+04   0.744760E+00   0.277184E-01  -0.193757E+02
   211   0.712477E+04   0.754172E+00   0.278753E-01  -0.178257E+02
   212   0.705532E+04   0.764832E+00   0.280386E-01  -0.162817E+02
   213   0.698602E+04   0.776776E+00   0.282078E-01  -0.147444E+02
   214   0.691688E+04   0.790041E+00   0.283827E-01  -0.132143E+02
   215   0.684791E+04   0.804656E+00   0.285631E-01  -0.116921E+02
   216   0.677911E+04   0.820665E+00   0.287487E-01  -0.101786E+02
   217   0.671048E+04   0.838096E+00   0.289392E-01  -0.867422E+01
   218   0.664204E+04   0.856980E+00   0.291342E-01  -0.717968E+01
   219   0.657378E+04   0.877359E+00   0.293337E-01  -0.569568E+01
   220   0.650572E+04   0.899263E+00   0.295372E-01  -0.422281E+01
   221   0.643787E+04   0.922720E+00   0.297445E-01  -0.276185E+01
   222   0.637022E+04   0.947774E+00   0.299553E-01  -0.131332E+01
   223   0.630279E+04   0.974446E+00   0.301694E-01   0.121913E+00
   224   0.623560E+04   0.100277E+01   0.303865E-01   0.154328E+01
   225   0.616866E+04   0.103277E+01   0.306062E-01   0.294989E+01
   226   0.610197E+04   0.106450E+01   0.308284E-01   0.434119E+01
   227   0.603555E+04   0.109797E+01   0.310527E-01   0.571636E+01
   228   0.596942E+04   0.113321E+01   0.312788E-01   0.707469E+01
   229   0.590357E+04   0.117025E+01   0.315066E-01   0.841546E+01
   230   0.583803E+04   0.120913E+01   0.317356E-01   0.973793E+01
   231   0.577281E+04   0.124986E+01   0.319657E-01   0.110413E+02
   232   0.570792E+04   0.129247E+01   0.321965E-01   0.123249E+02
   233   0.564337E+04   0.133700E+01   0.324278E-01   0.135878E+02
   234   0.557917E+04   0.138345E+01   0.326593E-01   0.148294E+02
   235   0.551535E+04   0.143188E+01   0.328907E-01   0.160489E+02
   236   0.545189E+04   0.148229E+01   0.331217E-01   0.172455E+02
   237   0.538883E+04   0.153471E+01   0.333520E-01   0.184183E+02
   238   0.532618E+04   0.158915E+01   0.335815E-01   0.195667E+02
   239   0.526396E+04   0.164563E+01   0.338097E-01   0.206899E+02
   240   0.520216E+04   0.170418E+01   0.340365E-01   0.217869E+02
   241   0.514081E+04   0.176483E+01   0.342614E-01   0.228571E+02
   242   0.507993E+04   0.182759E+01   0.344843E-01   0.238996E+02
   243   0.501952E+04   0.189246E+01   0.347049E-01   0.249137E+02
   244   0.495961E+04   0.195948E+01   0.349229E-01   0.258985E+02
   245   0.490021E+04   0.202866E+01   0.351379E-01   0.268534E+02
   246   0.484134E+04   0.210000E+01   0.353498E-01   0.277775E+02
   247   0.478301E+04   0.217353E+01   0.355583E-01   0.286701E+02
   248   0.472525E+04   0.224925E+01   0.357630E-01   0.295304E+02
   249   0.466806E+04   0.232718E+01   0.359636E-01   0.303575E+02
   250   0.461147E+04   0.240734E+01   0.361600E-01   0.311508E+02
   251   0.455547E+04   0.248972E+01   0.363519E-01   0.319092E+02
   252   0.450007E+04   0.257433E+01   0.365392E-01   0.326327E+02
   253   0.444527E+04   0.266117E+01   0.367221E-01   0.333208E+02
   254   0.439108E+04   0.275026E+01   0.369006E-01   0.339732E+02
   255   0.433746E+04   0.284159E+01   0.370748E-01   0.345896E+02
   256   0.428444E+04   0.293518E+01   0.372448E-01   0.351699E+02
   257   0.423202E+04   0.303102E+01   0.374105E-01   0.357138E+02
   258   0.418020E+04   0.312910E+01   0.375721E-01   0.362208E+02
   259   0.412898E+04   0.322945E+01   0.377297E-01   0.366919E+02
   260   0.407838E+04   0.333204E+01   0.378833E-01   0.371253E+02
   261   0.402840E+04   0.343689E+01   0.380330E-01   0.375224E+02
   262   0.397905E+04   0.354398E+01   0.381788E-01   0.378820E+02
   263   0.393033E+04   0.365333E+01   0.383208E-01   0.382048E+02
   264   0.388224E+04   0.376491E+01   0.384591E-01   0.384896E+02
   265   0.383479E+04   0.387872E+01   0.385938E-01   0.387378E+02
   266   0.378796E+04   0.399474E+01   0.387248E-01   0.389476E+02
   267   0.374177E+04   0.411297E+01   0.388524E-01   0.391188E+02
   268   0.369621E+04   0.423339E+01   0.389766E-01   0.392526E+02
   269   0.365128E+04   0.435599E+01   0.390973E-01   0.393473E+02
   270   0.360697E+04   0.448076E+01   0.392148E-01   0.394041E+02
   271   0.356331E+04   0.460768E+01   0.393290E-01   0.394214E+02
   272   0.352028E+04   0.473673E+01   0.394401E-01   0.394002E+02
   273   0.347790E+04   0.486789E+01   0.395482E-01   0.393397E+02
   274   0.343615E+04   0.500115E+01   0.396532E-01   0.392411E+02
   275   0.339506E+04   0.513647E+01   0.397552E-01   0.391026E+02
   276   0.335463E+04   0.527385E+01   0.398545E-01   0.389256E+02
   277   0.331486E+04   0.541326E+01   0.399509E-01   0.387089E+02
   278   0.327574E+04   0.555468E+01   0.400446E-01   0.384525E+02
   279   0.323729E+04   0.569806E+01   0.401357E-01   0.381574E+02
   280   0.319952E+04   0.584339E+01   0.402242E-01   0.378227E+02
   281   0.316242E+04   0.599064E+01   0.403103E-01   0.374490E+02
   282   0.312599E+04   0.613977E+01   0.403939E-01   0.370359E+02
   283   0.309025E+04   0.629075E+01   0.404752E-01   0.365832E+02
   284   0.305519E+04   0.644356E+01   0.405543E-01   0.360908E+02
   285   0.302082E+04   0.659816E+01   0.406312E-01   0.355590E+02
   286   0.298714E+04   0.675451E+01   0.407060E-01   0.349883E+02
   287   0.295417E+04   0.691258E+01   0.407787E-01   0.343786E+02
   288   0.292189E+04   0.707232E+01   0.408496E-01   0.337288E+02
   289   0.289032E+04   0.723370E+01   0.409185E-01   0.330410E+02
   290   0.285946E+04   0.739668E+01   0.409857E-01   0.323133E+02
   291   0.282932E+04   0.756124E+01   0.410512E-01   0.315470E+02
   292   0.279989E+04   0.772724E+01   0.411151E-01   0.307419E+02
   293   0.277118E+04   0.789476E+01   0.411774E-01   0.298985E+02
   294   0.274320E+04   0.806372E+01   0.412383E-01   0.290158E+02
   295   0.271594E+04   0.823397E+01   0.412978E-01   0.280950E+02
   296   0.268941E+04   0.840559E+01   0.413560E-01   0.271359E+02
   297   0.266361E+04   0.857843E+01   0.414129E-01   0.261375E+02
   298   0.263855E+04   0.875249E+01   0.414688E-01   0.251009E+02
   299   0.261424E+04   0.892769E+01   0.415236E-01   0.240269E+02
   300   0.259066E+04   0.910396E+01   0.415774E-01   0.229149E+02
   301   0.256784E+04   0.928137E+01   0.416303E-01   0.217657E+02
   302   0.254577E+04   0.945970E+01   0.416824E-01   0.205797E+02
   303   0.252445E+04   0.963903E+01   0.417337E-01   0.193574E+02
   304   0.250387E+04   0.981928E+01   0.417843E-01   0.180993E+02
   305   0.248404E+04   0.100004E+02   0.418342E-01   0.168054E+02
   306   0.246493E+04   0.101823E+02   0.418835E-01   0.154760E+02
   307   0.244657E+04   0.103650E+02   0.419323E-01   0.141118E+02
   308   0.242893E+04   0.105483E+02   0.419806E-01   0.127132E+02
   309   0.241202E+04   0.107323E+02   0.420284E-01   0.112809E+02
   310   0.239582E+04   0.109168E+02   0.420758E-01   0.981531E+01
   311   0.238034E+04   0.111018E+02   0.421229E-01   0.831550E+01
   312   0.236557E+04   0.112872E+02   0.421697E-01   0.678350E+01
   313   0.235150E+04   0.114730E+02   0.422163E-01   0.521910E+01
   314   0.233813E+04   0.116591E+02   0.422627E-01   0.362284E+01
   315   0.232545E+04   0.118453E+02   0.423090E-01   0.199524E+01
   316   0.231347E+04   0.120319E+02   0.423554E-01   0.336845E+00
   317   0.230217E+04   0.122184E+02   0.424017E-01  -0.135108E+01
   318   0.229156E+04   0.124050E+02   0.424481E-01  -0.306873E+01
   319   0.228163E+04   0.125916E+02   0.424946E-01  -0.481559E+01
