#    L    TT             EE             BB             TE          
   203   0.769114E+04   0.688328E+00   0.122894E-01  -0.303876E+02
   204   0.762093E+04   0.689543E+00   0.122369E-01  -0.288042E+02
   205   0.755075E+04   0.691751E+00   0.121918E-01  -0.272227E+02
   206   0.748062E+04   0.694988E+00   0.121539E-01  -0.256435E+02
   207   0.741054E+04   0.699291E+00   0.121228E-01  -0.240671E+02
   208   0.734051E+04   0.704696E+00   0.120985E-01  -0.224941E+02
   209   0.727057E+04   0.711239E+00   0.120806E-01  -0.209251E+02
   210   0.720072E+04   0.718956E+00   0.120688E-01  -0.193608E+02
   211   0.713097E+04   0.727885E+00   0.120628E-01  -0.178017E+02
   212   0.706135E+04   0.738059E+00   0.120625E-01  -0.162484E+02
   213   0.699187E+04   0.749516E+00   0.120676E-01  -0.147016E+02
   214   0.692254E+04   0.762293E+00   0.120777E-01  -0.131620E+02
   215   0.685338E+04   0.776420E+00   0.120927E-01  -0.116301E+02
   216   0.678438E+04   0.791939E+00   0.121123E-01  -0.101065E+02
   217   0.671556E+04   0.808882E+00   0.121362E-01  -0.859210E+01
   218   0.664692E+04   0.827278E+00   0.121642E-01  -0.708730E+01
   219   0.657846E+04   0.847169E+00   0.121960E-01  -0.559289E+01
   220   0.651020E+04   0.868586E+00   0.122313E-01  -0.410944E+01
   221   0.644214E+04   0.891558E+00   0.122700E-01  -0.263777E+01
   222   0.637428E+04   0.916128E+00   0.123116E-01  -0.117838E+01
   223   0.630664E+04   0.942319E+00   0.123560E-01   0.267860E+00
   224   0.623924E+04   0.970167E+00   0.124030E-01   0.170036E+01
   225   0.617208E+04   0.999694E+00   0.124522E-01   0.311825E+01
   226   0.610518E+04   0.103094E+01   0.125034E-01   0.452094E+01
   227   0.603854E+04   0.106395E+01   0.125563E-01   0.590763E+01
   228   0.597219E+04   0.109872E+01   0.126107E-01   0.727760E+01
   229   0.590613E+04   0.113531E+01   0.126663E-01   0.863011E+01
   230   0.584037E+04   0.117374E+01   0.127228E-01   0.996443E+01
   231   0.577492E+04   0.121402E+01   0.127801E-01   0.112798E+02
   232   0.570981E+04   0.125619E+01   0.128378E-01   0.125754E+02
   233   0.564504E+04   0.130028E+01   0.128957E-01   0.138505E+02
   234   0.558062E+04   0.134632E+01   0.129535E-01   0.151042E+02
   235   0.551657E+04   0.139432E+01   0.130110E-01   0.163360E+02
   236   0.545288E+04   0.144433E+01   0.130678E-01   0.175450E+02
   237   0.538960E+04   0.149634E+01   0.131238E-01   0.187302E+02
   238   0.532672E+04   0.155039E+01   0.131787E-01   0.198911E+02
   239   0.526427E+04   0.160649E+01   0.132322E-01   0.210268E+02
   240   0.520225E+04   0.166468E+01   0.132841E-01   0.221363E+02
   241   0.514066E+04   0.172497E+01   0.133341E-01   0.232191E+02
   242   0.507955E+04   0.178738E+01   0.133820E-01   0.242743E+02
   243   0.501891E+04   0.185192E+01   0.134274E-01   0.253009E+02
   244   0.495877E+04   0.191862E+01   0.134701E-01   0.262984E+02
   245   0.489913E+04   0.198749E+01   0.135100E-01   0.272659E+02
   246   0.484003E+04   0.205853E+01   0.135466E-01   0.282027E+02
   247   0.478146E+04   0.213178E+01   0.135798E-01   0.291079E+02
   248   0.472345E+04   0.220724E+01   0.136093E-01   0.299806E+02
   249   0.466602E+04   0.228492E+01   0.136348E-01   0.308203E+02
   250   0.460918E+04   0.236485E+01   0.136561E-01   0.316261E+02
   251   0.455293E+04   0.244701E+01   0.136729E-01   0.323970E+02
